sep=,
"Time","max capacity","alertmanager-kube-prometheus-stackr-alertmanager-0","camunda-platform-connectors-7d745cc4cd-lk6h4","camunda-platform-elasticsearch-master-0","camunda-platform-elasticsearch-master-1","camunda-platform-operate-745dd6ffbd-hd2s7","camunda-platform-tasklist-595f9975f6-62bbr","camunda-platform-zeebe-0","camunda-platform-zeebe-gateway-5b66c5dffb-5swg8","console-worker-console-worker-chart-camunda-8-go-console-wfzxss","coredns-77ccd57875-qkp4q","kepler-8czsm","kube-prometheus-stackr-grafana-6b8fb957c8-62pgz","kube-prometheus-stackr-kube-state-metrics-6d5579569-7w9tb","kube-prometheus-stackr-operator-8f879775f-f2q87","kube-prometheus-stackr-prometheus-node-exporter-qw4m2","load-controller-5445f6d748-hgqvd","local-path-provisioner-957fdf8bc-jnlfw","metrics-server-648b5df564-msqlc","prometheus-kube-prometheus-stackr-prometheus-0","restworkerjava-556c56b566-dx98j","restworkerjava-5cbbbdbc55-qxwl4","restworkerjava-67c4cdf457-bc649","restworkerjava-67fb7c7c59-v7wmm","restworkerjava-6bb6fdcc85-k4kdh","restworkerjava-77c95dd488-5z6bl","restworkerjava-7f99bf486d-5rv2m","restworkerjava-86b6d57d68-95jmw","restworkerjava-fdcf7776b-dt2lz","svclb-traefik-5671c552-795qx","test-responder-5768c7fbf7-9ppfr","traefik-768bdcdcdd-4f8ms"
2023-11-29 12:10:00,12,0.000270,0.00125,0.00447,0.00738,0.00208,0.00150,0.0801,0.0153,0.000188,0.000849,0.00899,0.00432,0.000219,0.000135,0.00195,0.000518,0.000233,0.00293,0.0159,,,,,,,0.000567,,,0,0.000510,0.0000889
2023-11-29 12:12:00,12,0.000152,0.00152,0.00585,0.00645,0.00223,0.00116,0.0787,0.0148,0.000333,0.000889,0.00725,0.00413,0.000205,0.000188,0.00113,0.000544,0.000327,0.00297,0.0132,,,,,,,0.000611,,,0,0.000544,0.0000996
2023-11-29 12:14:00,12,0.000302,0.00124,0.00544,0.00703,0.00254,0.00121,0.0817,0.0161,0.000204,0.000919,0.00902,0.00312,0.000327,0.000697,0.00106,0.000564,0.000367,0.00247,0.0116,,,,,,,0.000614,,,0,0.000541,0.000106
2023-11-29 12:16:00,12,0.000206,0.00124,0.00711,0.00599,0.00189,0.00144,0.0779,0.0147,0.000193,0.000866,0.00781,0.000372,0.000280,0.0000961,0.00122,0.000493,0.000245,0.00266,0.0180,,0.000754,,,,,,,,0,0.000528,0.0000843
2023-11-29 12:18:00,12,0.000199,0.00139,0.00514,0.00581,0.00200,0.00115,0.0778,0.0144,0.000206,0.000813,0.00728,0.000945,0.000274,0.000145,0.00192,0.000534,0.000332,0.00272,0.0127,,0.000640,,,,,,,,0,0.000501,0.0000828
2023-11-29 12:20:00,12,0.000161,0.00116,0.00507,0.00620,0.00189,0.00109,0.0782,0.0145,0.000195,0.000862,0.00849,0.00192,0.000296,0.000180,0.000945,0.000492,0.000356,0.00274,0.0130,,0.000685,,,,,,,,0,0.000523,0.0000820
2023-11-29 12:22:00,12,0.000175,0.00124,0.00504,0.00589,0.00262,0.00101,0.0790,0.0150,0.000175,0.000855,0.0100,0.00411,0.000275,0.0000999,0.00103,0.000516,0.000345,0.00237,0.0164,,0.000617,,,,,,,,0,0.000540,0.0000965
2023-11-29 12:24:00,12,0.000151,0.00121,0.00485,0.00616,0.00210,0.00106,0.0781,0.0149,0.000184,0.000883,0.00767,0.00334,0.000239,0.000158,0.00123,0.000545,0.000367,0.00246,0.0118,,0.000613,,,,,,,,0,0.000528,0.0000925
2023-11-29 12:26:00,12,0.000151,0.00127,0.00521,0.00550,0.00196,0.00138,0.0786,0.0148,0.000191,0.000864,0.00873,0.00476,0.000274,0.000177,0.00155,0.000511,0.000319,0.00245,0.0140,,0.000510,,,,,,,,0,0.000488,0.0000948
2023-11-29 12:28:00,12,0.000200,0.00123,0.00479,0.00647,0.00220,0.00116,0.0780,0.0148,0.000175,0.000944,0.00631,0.00412,0.000322,0.000102,0.00105,0.000554,0.000452,0.00257,0.0176,,0.000570,,,,,,,,0,0.000551,0.0000981
