sep=,
"Time","CompleteJob (INTERNAL)","CompleteJob (NOT_FOUND)","CreateProcessInstance (NOT_FOUND)","ActivateJobs (OK)","CompleteJob (OK)","CreateProcessInstance (OK)","DeployResource (OK)","FailJob (OK)","Topology (OK)","ActivateJobs (RESOURCE_EXHAUSTED)","CreateProcessInstance (RESOURCE_EXHAUSTED)","Total requests completed"
2024-02-14 18:56:30,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 18:56:40,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 18:56:50,,0,0,3.60,11.2,0,0,,0,,,14.8
2024-02-14 18:57:00,,0.700,0,3.80,12.8,0,0,,0,,,17.3
2024-02-14 18:57:10,,0,0,3.40,12,0,0,,0,,,15.4
2024-02-14 18:57:20,,0,0,2.10,8.80,0.100,0,,0,,,11
2024-02-14 18:57:30,,0,0,3.50,12.8,0.100,0,,0,,,16.4
2024-02-14 18:57:40,,0,0,3.40,12.8,0,0,,0,,,16.2
2024-02-14 18:57:50,,0,0,2.90,11.2,0,0,,0,,,14.1
2024-02-14 18:58:00,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 18:58:10,,0,0,3.50,12.8,0,0,,0,,,16.3
2024-02-14 18:58:20,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 18:58:30,,0,0,3.50,11.2,0,0,,0,,,14.7
2024-02-14 18:58:40,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 18:58:50,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 18:59:00,,0,0,3.50,12.8,0,0,,0,,,16.3
2024-02-14 18:59:10,,0,0,3.50,11.2,0,0,,0,,,14.7
2024-02-14 18:59:20,,0,0,2.50,8.80,0,0,,0,,,11.3
2024-02-14 18:59:30,,0,0,3.20,12,0.200,0,,0,,,15.4
2024-02-14 18:59:40,,0,0,3.40,12.8,0,0,,0,,,16.2
2024-02-14 18:59:50,,0,0,3.30,12.1,0,0,,0,,,15.4
2024-02-14 19:00:00,,0,0,3.10,11.9,0,0,,0,,,15
2024-02-14 19:00:10,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 19:00:20,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 19:00:30,,0,0,3.30,12.8,0,0,,0,,,16.1
2024-02-14 19:00:40,,0,0,2.90,11.2,0,0,,0,,,14.1
2024-02-14 19:00:50,,0,0,3.10,12.8,0,0,,0,,,15.9
2024-02-14 19:01:00,,1.40,0,3.50,12.8,0,0,,0,,,17.7
2024-02-14 19:01:10,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 19:01:20,,0,0,2.20,8.80,0,0,,0,,,11
2024-02-14 19:01:30,,0,0,2.60,10.4,0.200,0,,0,,,13.2
2024-02-14 19:01:40,,0,0,3.20,11.3,0,0,,0,,,14.5
2024-02-14 19:01:50,,0,0,3.40,12.7,0,0,,0,,,16.1
2024-02-14 19:02:00,,0,0,3.90,12.8,0,0,,0,,,16.7
2024-02-14 19:02:10,,0,0,3.20,12.8,0,0,,0,,,16
2024-02-14 19:02:20,,0,0,3.30,12.1,0,0,,0,,,15.4
2024-02-14 19:02:30,,0,0,3.40,11.9,0,0,,0,,,15.3
2024-02-14 19:02:40,,0,0,3.20,12.8,0,0,,0,,,16
2024-02-14 19:02:50,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 19:03:00,,0,0,3.10,11.2,0,0,,0,,,14.3
2024-02-14 19:03:10,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 19:03:20,,0,0,3.10,12.0,0,0,,0,,,15.1
2024-02-14 19:03:30,,0,0,2.50,8.80,0.200,0,,0,,,11.5
2024-02-14 19:03:40,,0,0,3.70,11.4,0,0,,0,,,15.1
2024-02-14 19:03:50,,0,0,3.20,12.6,0,0,,0,,,15.8
2024-02-14 19:04:00,,0,0,3.90,12.8,0,0,,0,,,16.7
2024-02-14 19:04:10,,0,0,3.60,12.1,0,0,,0,,,15.7
2024-02-14 19:04:20,,0,0,3.30,11.9,0,0,,0,,,15.2
2024-02-14 19:04:30,,0,0,3.90,12.8,0,0,,0,,,16.7
2024-02-14 19:04:40,,0,0,3.90,12.8,0,0,,0,,,16.7
2024-02-14 19:04:50,,0,0,3.40,11.2,0,0,,0,,,14.6
2024-02-14 19:05:00,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 19:05:10,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 19:05:20,,0,0,3.60,11.3,0,0,,0,,,14.9
2024-02-14 19:05:30,,0,0,2.30,8.80,0.200,0,,0,,,11.3
2024-02-14 19:05:40,,0,0,3.30,12.7,0,0,,0,,,16
2024-02-14 19:05:50,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 19:06:00,,0.100,0,3.60,12.8,0,0,,0,,,16.5
2024-02-14 19:06:10,,0,0,3.20,11.3,0,0,,0,,,14.5
2024-02-14 19:06:20,,0,0,3.50,12.7,0,0,,0,,,16.2
2024-02-14 19:06:30,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 19:06:40,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 19:06:50,,0,0,3.50,11.3,0,0,,0,,,14.8
2024-02-14 19:07:00,,0,0,3.30,12.7,0,0,,0,,,16
2024-02-14 19:07:10,,0,0,3.20,12.8,0,0,,0,,,16
2024-02-14 19:07:20,,0,0,2.90,11.2,0,0,,0,,,14.1
2024-02-14 19:07:30,,0,0,2.20,8.80,0.200,0,,0,,,11.2
2024-02-14 19:07:40,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 19:07:50,,0,0,3.40,12.8,0,0,,0,,,16.2
2024-02-14 19:08:00,,0,0,3.40,11.2,0,0,,0,,,14.6
2024-02-14 19:08:10,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 19:08:20,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 19:08:30,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 19:08:40,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 19:08:50,,0,0,3.60,11.2,0,0,,0,,,14.8
2024-02-14 19:09:00,,0,0,3.20,12.8,0,0,,0,,,16
2024-02-14 19:09:10,,0,0,3.50,12.8,0,0,,0,,,16.3
2024-02-14 19:09:20,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 19:09:30,,0,0,1.80,6.40,0.200,0,,0,,,8.40
2024-02-14 19:09:40,,0,0,4,12.8,0,0,,0,,,16.8
2024-02-14 19:09:50,,0,0,3.50,11.2,0,0,,0,,,14.7
2024-02-14 19:10:00,,0,0,3.40,12.8,0,0,,0,,,16.2
2024-02-14 19:10:10,,0,0,3.40,12.8,0,0,,0,,,16.2
2024-02-14 19:10:20,,0,0,3.50,12.8,0,0,,0,,,16.3
2024-02-14 19:10:30,,0,0,3.60,12.1,0,0,,0,,,15.7
2024-02-14 19:10:40,,0,0,3.40,11.9,0,0,,0,,,15.3
2024-02-14 19:10:50,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 19:11:00,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 19:11:10,,0,0,3.50,12.8,0,0,,0,,,16.3
2024-02-14 19:11:20,,0,0,3.50,12.5,0,0,,0,,,16
2024-02-14 19:11:30,,0,0,2,7.50,0.200,0,,0,,,9.70
2024-02-14 19:11:40,,0,0,3,12,0,0,,0,,,15
2024-02-14 19:11:50,,0,0,3.20,12.8,0,0,,0,,,16
2024-02-14 19:12:00,,0.100,0,3.10,12,0,0,,0,,,15.2
2024-02-14 19:12:10,,0,0,3.10,12,0,0,,0,,,15.1
2024-02-14 19:12:20,,0,0,3.10,12.8,0,0,,0,,,15.9
2024-02-14 19:12:30,,0,0,3.50,12.8,0,0,,0,,,16.3
2024-02-14 19:12:40,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 19:12:50,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 19:13:00,,0,0,3.60,12.1,0,0,,0,,,15.7
2024-02-14 19:13:10,,0,0,3.40,11.9,0,0,,0,,,15.3
2024-02-14 19:13:20,,0,0,3.30,12.8,0,0,,0,,,16.1
2024-02-14 19:13:30,,0,0,2.10,8,0.200,0,,0,,,10.3
2024-02-14 19:13:40,,0,0,3.40,11.2,0,0,,0,,,14.6
2024-02-14 19:13:50,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 19:14:00,,0,0,3.40,12.8,0,0,,0,,,16.2
2024-02-14 19:14:10,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 19:14:20,,0,0,3.30,12.8,0,0,,0,,,16.1
2024-02-14 19:14:30,,0,0,3.70,11.4,0,0,,0,,,15.1
2024-02-14 19:14:40,,0,0,3.30,12.6,0,0,,0,,,15.9
2024-02-14 19:14:50,,0,0,3.90,12.8,0,0,,0,,,16.7
2024-02-14 19:15:00,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 19:15:10,,0,0,2.90,11.2,0,0,,0,,,14.1
2024-02-14 19:15:20,,0,0,3.10,12.8,0,0,,0,,,15.9
2024-02-14 19:15:30,,0,0,2.20,7.30,0.100,0,,0,,,9.60
2024-02-14 19:15:40,,0,0,3.30,11.9,0.100,0,,0,,,15.3
2024-02-14 19:15:50,,0,0,3.50,12.8,0,0,,0,,,16.3
2024-02-14 19:16:00,,0,0,3.20,12.8,0,0,,0,,,16
2024-02-14 19:16:10,,0,0,3.20,11.2,0,0,,0,,,14.4
2024-02-14 19:16:20,,0,0,3.90,12.8,0,0,,0,,,16.7
2024-02-14 19:16:30,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 19:16:40,,0,0,3.90,12.8,0,0,,0,,,16.7
2024-02-14 19:16:50,,0,0,3.30,11.2,0,0,,0,,,14.5
2024-02-14 19:17:00,,0,0,3.50,12.8,0,0,,0,,,16.3
2024-02-14 19:17:10,,0,0,3.40,12.8,0,0,,0,,,16.2
2024-02-14 19:17:20,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 19:17:30,,0,0,2.30,8.80,0,0,,0,,,11.1
2024-02-14 19:17:40,,0,0,2.90,10.4,0.200,0,,0,,,13.5
2024-02-14 19:17:50,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 19:18:00,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 19:18:10,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 19:18:20,,0,0,3.80,11.4,0,0,,0,,,15.2
2024-02-14 19:18:30,,0,0,2.80,12.6,0,0,,0,,,15.4
2024-02-14 19:18:40,,0,0,3.20,12.8,0,0,,0,,,16
2024-02-14 19:18:50,,0,0,3.20,11.2,0,0,,0,,,14.4
2024-02-14 19:19:00,,0.200,0,3.20,12.8,0,0,,0,,,16.2
2024-02-14 19:19:10,,0,0,3.20,12.8,0,0,,0,,,16
2024-02-14 19:19:20,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 19:19:30,,0,0,3,10.4,0,0,,0,,,13.4
2024-02-14 19:19:40,,0,0,2.60,8.80,0.200,0,,0,,,11.6
2024-02-14 19:19:50,,0,0,3.90,12.8,0,0,,0,,,16.7
2024-02-14 19:20:00,,0,0,3.40,12.8,0,0,,0,,,16.2
