sep=,
"Time","CompleteJob (INTERNAL)","CompleteJob (NOT_FOUND)","ActivateJobs (OK)","CompleteJob (OK)","CreateProcessInstance (OK)","DeployResource (OK)","FailJob (OK)","Topology (OK)","ActivateJobs (RESOURCE_EXHAUSTED)","CreateProcessInstance (RESOURCE_EXHAUSTED)","Total requests completed"
2024-02-10 11:21:20,,0,4.50,24.1,0,0,0,0,,,28.6
2024-02-10 11:21:30,,0,4.50,25.4,0,0,0,0,,,29.9
2024-02-10 11:21:40,,0,4.10,24,0,0,0,0,,,28.1
2024-02-10 11:21:50,,0,4.70,24,0,0,0,0,,,28.7
2024-02-10 11:22:00,,0,4.50,24.1,0,0,0,0,,,28.6
2024-02-10 11:22:10,,0,0.200,2.30,0,0,0,0,,,2.50
2024-02-10 11:22:20,,0,0,0,0,0,0,0,,,0
2024-02-10 11:22:30,,0,0,0,0,0,0,0,,,0
2024-02-10 11:22:40,,0,0,0,0,0,0,0,,,0
2024-02-10 11:22:50,,0,4.00,20.0,0.400,0,0,0,,,24.4
2024-02-10 11:23:00,,0,4.60,24.8,0,0,0,0,,,29.4
2024-02-10 11:23:10,,0,5.20,25.6,0,0,0,0,,,30.8
2024-02-10 11:23:20,,0,4.60,23.3,0,0,0,0,,,27.9
2024-02-10 11:23:30,,0,3.10,24.7,0,0,0,0,,,27.8
2024-02-10 11:23:40,,0,3.30,25.6,0,0,0,0,,,28.9
2024-02-10 11:23:50,,0,6.20,39.2,0.400,0,0,0,,,45.8
2024-02-10 11:24:00,,0,5.30,46.4,0,0,0,0,,,51.7
2024-02-10 11:24:10,,0,3.70,29.6,0,0,0,0,,,33.3
2024-02-10 11:24:20,,0,3.80,24.9,0,0,0,0,,,28.7
2024-02-10 11:24:30,,0,2.70,23.1,0,0,0,0,,,25.8
2024-02-10 11:24:40,,0,3.20,25.6,0,0,0,0,,,28.8
2024-02-10 11:24:50,,0,3,25.6,0,0,0,0,,,28.6
2024-02-10 11:25:00,,0,3.80,25.6,0,0,0,0,,,29.4
2024-02-10 11:25:10,,0,1.20,6.40,0,0,0,0,,,7.60
2024-02-10 11:25:20,,0,0,0,0,0,0,0,,,0
2024-02-10 11:25:30,,0,0,0,0,0,0,0,,,0
2024-02-10 11:25:40,,0,0,0,0,0,0,0,,,0
2024-02-10 11:25:50,,0,3.30,13.6,0.400,0,0,0,,,17.3
2024-02-10 11:26:00,,0,3.90,25.6,0,0,0,0,,,29.5
2024-02-10 11:26:10,,0,2.70,22.4,0,0,0,0,,,25.1
2024-02-10 11:26:20,,0,3,25.6,0,0,0,0,,,28.6
2024-02-10 11:26:30,,0,3.10,24,0,0,0,0,,,27.1
2024-02-10 11:26:40,,0,3,24.8,0,0,0,0,,,27.8
2024-02-10 11:26:50,,0,5.70,32.1,0.400,0,0,0,,,38.2
2024-02-10 11:27:00,,0,6.40,47.1,0,0,0,0,,,53.5
