sep=,
"Time","camunda-platform-elasticsearch-master-0 / camunda8 / PKG","camunda-platform-elasticsearch-master-1 / camunda8 / PKG","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / PKG","camunda-platform-tasklist-9968d5594-9257r / camunda8 / PKG","camunda-platform-zeebe-0 / camunda8 / PKG","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / PKG","camunda-platform-elasticsearch-master-0 / camunda8 / DRAM","camunda-platform-elasticsearch-master-1 / camunda8 / DRAM","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / DRAM","camunda-platform-tasklist-9968d5594-9257r / camunda8 / DRAM","camunda-platform-zeebe-0 / camunda8 / DRAM","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / DRAM","camunda-platform-elasticsearch-master-0 / camunda8 / OTHER","camunda-platform-elasticsearch-master-1 / camunda8 / OTHER","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / OTHER","camunda-platform-tasklist-9968d5594-9257r / camunda8 / OTHER","camunda-platform-zeebe-0 / camunda8 / OTHER","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / OTHER"
2024-02-14 18:48:40,0.645,0.774,0.278,0.236,0.974,0.287,0.0420,0.0420,0.0195,0.0177,0.0261,0.0198,0,0,0,0,0,0
2024-02-14 18:48:50,0.535,0.433,0.436,0.247,0.847,0.276,0.0414,0.0405,0.0204,0.0186,0.0312,0.0213,0,0,0,0,0,0
2024-02-14 18:49:00,0.857,0.616,0.451,0.326,1.47,0.419,0.0630,0.0534,0.0267,0.0255,0.0441,0.0282,0,0,0,0,0,0
2024-02-14 18:49:10,0.816,0.454,0.259,0.236,0.986,0.303,0.0435,0.0384,0.0192,0.0180,0.0288,0.0204,0,0,0,0,0,0
2024-02-14 18:49:20,0.553,0.404,0.203,0.235,0.765,0.261,0.0420,0.0393,0.0189,0.0186,0.0300,0.0207,0,0,0,0,0,0
2024-02-14 18:49:30,0.926,1.16,0.437,0.293,1.29,0.394,0.0621,0.0612,0.0276,0.0255,0.0486,0.0306,0,0,0,0,0,0
2024-02-14 18:49:40,0.460,0.566,0.317,0.236,0.996,0.304,0.0405,0.0399,0.0189,0.0180,0.0282,0.0201,0,0,0,0,0,0
2024-02-14 18:49:50,0.620,0.479,0.211,0.256,0.952,0.282,0.0399,0.0372,0.0180,0.0177,0.0279,0.0195,0,0,0,0,0,0
2024-02-14 18:50:00,1.10,0.612,0.371,0.299,1.61,0.412,0.0576,0.0504,0.0258,0.0246,0.0387,0.0273,0,0,0,0,0,0
2024-02-14 18:50:10,0.924,0.449,0.197,0.213,0.818,0.249,0.0405,0.0396,0.0186,0.0180,0.0306,0.0204,0,0,0,0,0,0
2024-02-14 18:50:20,0.493,0.471,0.287,0.216,0.966,0.268,0.0411,0.0402,0.0189,0.0177,0.0327,0.0201,0,0,0,0,0,0
2024-02-14 18:50:30,1.40,0.576,0.274,0.324,1.59,0.380,0.0597,0.0510,0.0264,0.0249,0.0399,0.0273,0,0,0,0,0,0
2024-02-14 18:50:40,0.740,0.416,0.291,0.213,1.03,0.299,0.0399,0.0369,0.0186,0.0174,0.0291,0.0198,0,0,0,0,0,0
2024-02-14 18:50:50,0.557,0.526,0.297,0.210,1.13,0.274,0.0414,0.0414,0.0186,0.0180,0.0300,0.0195,0,0,0,0,0,0
2024-02-14 18:51:00,0.867,0.569,0.473,0.524,1.56,0.407,0.0609,0.0549,0.0273,0.0258,0.0480,0.0285,0,0,0,0,0,0
2024-02-14 18:51:10,0.644,0.414,0.245,0.211,1.02,0.265,0.0405,0.0384,0.0189,0.0177,0.0300,0.0195,0,0,0,0,0,0
2024-02-14 18:51:20,0.532,0.442,0.300,0.220,0.810,0.266,0.0423,0.0390,0.0192,0.0183,0.0285,0.0198,0,0,0,0,0,0
2024-02-14 18:51:30,1.29,0.743,0.307,0.339,1.71,0.425,0.0600,0.0552,0.0258,0.0246,0.0453,0.0282,0,0,0,0,0,0
2024-02-14 18:51:40,0.645,0.446,0.336,0.212,1.13,0.300,0.0399,0.0381,0.0189,0.0177,0.0297,0.0195,0,0,0,0,0,0
2024-02-14 18:51:50,0.512,0.457,0.291,0.244,1.37,0.314,0.0405,0.0384,0.0186,0.0186,0.0309,0.0201,0,0,0,0,0,0
2024-02-14 18:52:00,1.56,0.601,0.380,0.355,1.32,0.366,0.0579,0.0507,0.0255,0.0318,0.0378,0.0264,0,0,0,0,0,0
2024-02-14 18:52:10,0.706,0.371,0.342,0.240,0.893,0.253,0.0405,0.0372,0.0192,0.0177,0.0273,0.0192,0,0,0,0,0,0
2024-02-14 18:52:20,0.604,0.424,0.258,0.242,1.04,0.304,0.0423,0.0381,0.0183,0.0183,0.0270,0.0201,0,0,0,0,0,0
2024-02-14 18:52:30,0.882,0.761,0.406,0.337,1.36,0.404,0.0546,0.0504,0.0258,0.0234,0.0357,0.0264,0,0,0,0,0,0
2024-02-14 18:52:40,0.647,0.437,0.256,0.245,0.771,0.274,0.0399,0.0372,0.0189,0.0174,0.0261,0.0195,0,0,0,0,0,0
2024-02-14 18:52:50,0.757,0.469,0.200,0.269,1.09,0.303,0.0411,0.0399,0.0186,0.0186,0.0285,0.0204,0,0,0,0,0,0
2024-02-14 18:53:00,1.01,0.638,0.343,0.329,1.23,0.376,0.0624,0.0540,0.0270,0.0240,0.0405,0.0270,0,0,0,0,0,0
2024-02-14 18:53:10,0.722,0.735,0.309,0.224,0.967,0.292,0.0414,0.0402,0.0198,0.0183,0.0279,0.0198,0,0,0,0,0,0
2024-02-14 18:53:20,0.737,0.512,0.262,0.211,0.690,0.250,0.0417,0.0396,0.0189,0.0192,0.0255,0.0195,0,0,0,0,0,0
2024-02-14 18:53:30,0.789,0.613,0.348,0.293,1.71,0.418,0.0600,0.0516,0.0285,0.0243,0.0423,0.0282,0,0,0,0,0,0
2024-02-14 18:53:40,1.20,0.411,0.205,0.251,0.907,0.290,0.0438,0.0369,0.0189,0.0177,0.0285,0.0201,0,0,0,0,0,0
2024-02-14 18:53:50,0.911,0.456,0.324,0.276,1.35,0.348,0.0522,0.0363,0.0189,0.0183,0.0285,0.0201,0,0,0,0,0,0
2024-02-14 18:54:00,1.14,0.642,0.424,0.337,1.36,0.421,0.0615,0.0504,0.0270,0.0237,0.0378,0.0267,0,0,0,0,0,0
2024-02-14 18:54:10,0.606,0.419,0.323,0.278,1.18,0.331,0.0420,0.0369,0.0195,0.0180,0.0288,0.0201,0,0,0,0,0,0
2024-02-14 18:54:20,0.686,0.398,0.245,0.273,1.06,0.298,0.0423,0.0363,0.0189,0.0186,0.0291,0.0207,0,0,0,0,0,0
