sep=,
"Time","restworkerjava-5b45897d78-698vk / worker / PKG","restworkerjava-5cbf76776f-2pph5 / worker / PKG","restworkerjava-644f69b555-lm96x / worker / PKG","restworkerjava-d65564b97-5jrgr / worker / PKG","restworkerjava-5b45897d78-698vk / worker / DRAM","restworkerjava-5cbf76776f-2pph5 / worker / DRAM","restworkerjava-644f69b555-lm96x / worker / DRAM","restworkerjava-d65564b97-5jrgr / worker / DRAM","restworkerjava-5b45897d78-698vk / worker / OTHER","restworkerjava-5cbf76776f-2pph5 / worker / OTHER","restworkerjava-644f69b555-lm96x / worker / OTHER","restworkerjava-d65564b97-5jrgr / worker / OTHER"
2024-02-14 19:12:10,0.205,,,,0.0195,,,,0,,,
2024-02-14 19:12:20,0.197,,,,0.0195,,,,0,,,
2024-02-14 19:12:30,0.283,,,,0.0261,,,,0,,,
2024-02-14 19:12:40,0.200,,,,0.0189,,,,0,,,
2024-02-14 19:12:50,0.206,,,,0.0192,,,,0,,,
2024-02-14 19:13:00,0.298,,,,0.0261,,,,0,,,
2024-02-14 19:13:10,0.206,,,,0.0201,,,,0,,,
2024-02-14 19:13:20,0.202,,,,0.0183,,,,0,,,
2024-02-14 19:13:30,0.253,,,,0.0243,,,,0,,,
2024-02-14 19:13:40,0.207,,,,0.0210,,,,0,,,
2024-02-14 19:13:50,0.212,,,,0.0192,,,,0,,,
2024-02-14 19:14:00,0.274,,,,0.0255,,,,0,,,
2024-02-14 19:14:10,0.198,,,,0.0186,,,,0,,,
2024-02-14 19:14:20,0.199,,,,0.0195,,,,0,,,
2024-02-14 19:14:30,0.268,,,,0.0261,,,,0,,,
2024-02-14 19:14:40,0.199,,,,0.0186,,,,0,,,
2024-02-14 19:14:50,0.203,,,,0.0189,,,,0,,,
2024-02-14 19:15:00,0.271,,,,0.0261,,,,0,,,
2024-02-14 19:15:10,0.192,,,,0.0192,,,,0,,,
2024-02-14 19:15:20,0.212,,,,0.0192,,,,0,,,
2024-02-14 19:15:30,0.264,,,,0.0252,,,,0,,,
2024-02-14 19:15:40,0.206,,,,0.0207,,,,0,,,
2024-02-14 19:15:50,0.197,,,,0.0189,,,,0,,,
2024-02-14 19:16:00,0.260,,,,0.0249,,,,0,,,
2024-02-14 19:16:10,0.192,,,,0.0213,,,,0,,,
2024-02-14 19:16:20,0.229,,,,0.0192,,,,0,,,
2024-02-14 19:16:30,0.267,,,,0.0261,,,,0,,,
2024-02-14 19:16:40,0.207,,,,0.0192,,,,0,,,
2024-02-14 19:16:50,0.206,,,,0.0183,,,,0,,,
2024-02-14 19:17:00,0.260,,,,0.0255,,,,0,,,
2024-02-14 19:17:10,0.193,,,,0.0198,,,,0,,,
2024-02-14 19:17:20,0.206,,,,0.0198,,,,0,,,
2024-02-14 19:17:30,0.260,,,,0.0252,,,,0,,,
2024-02-14 19:17:40,0.190,,,,0.0201,,,,0,,,
2024-02-14 19:17:50,0.194,,,,0.0192,,,,0,,,
2024-02-14 19:18:00,0.555,,,,0.0270,,,,0,,,
2024-02-14 19:18:10,0.201,,,,0.0189,,,,0,,,
2024-02-14 19:18:20,0.197,,,,0.0195,,,,0,,,
2024-02-14 19:18:30,0.256,,,,0.0249,,,,0,,,
2024-02-14 19:18:40,0.194,,,,0.0180,,,,0,,,
2024-02-14 19:18:50,0.255,,,,0.0198,,,,0,,,
2024-02-14 19:19:00,0.260,,,,0.0249,,,,0,,,
2024-02-14 19:19:10,0.199,,,,0.0198,,,,0,,,
2024-02-14 19:19:20,0.195,,,,0.0189,,,,0,,,
2024-02-14 19:19:30,0.256,,,,0.0252,,,,0,,,
2024-02-14 19:19:40,0.214,,,,0.0207,,,,0,,,
2024-02-14 19:19:50,0.196,,,,0.0198,,,,0,,,
2024-02-14 19:20:00,0.261,,,,0.0252,,,,0,,,
2024-02-14 19:20:10,0.194,,,,0.0189,,,,0,,,
2024-02-14 19:20:20,0.207,,,,0.0192,,,,0,,,
2024-02-14 19:20:30,0.271,,,,0.0255,,,,0,,,
2024-02-14 19:20:40,0.200,,,,0.0189,,,,0,,,
2024-02-14 19:20:50,0.199,,,,0.0195,,,,0,,,
2024-02-14 19:21:00,0.286,,,,0.0264,,,,0,,,
2024-02-14 19:21:10,0.192,,,,0.0192,,,,0,,,
2024-02-14 19:21:20,0.204,,,,0.0207,,,,0,,,
2024-02-14 19:21:30,0.264,,,,0.0255,,,,0,,,
2024-02-14 19:21:40,0.192,,,,0.0192,,,,0,,,
2024-02-14 19:21:50,0.203,,,,0.0201,,,,0,,,
2024-02-14 19:22:00,0.271,,,,0.0258,,,,0,,,
2024-02-14 19:22:10,0.192,,,,0.0186,,,,0,,,
2024-02-14 19:22:20,0.200,,,,0.0195,,,,0,,,
2024-02-14 19:22:30,0.266,,,,0.0252,,,,0,,,
2024-02-14 19:22:40,0.196,,,,0.0189,,,,0,,,
2024-02-14 19:22:50,0.202,,,,0.0192,,,,0,,,
2024-02-14 19:23:00,0.267,,,,0.0264,,,,0,,,
2024-02-14 19:23:10,0.191,,,,0.0207,,,,0,,,
2024-02-14 19:23:20,0.206,,,,0.0204,,,,0,,,
2024-02-14 19:23:30,0.268,,,,0.0255,,,,0,,,
2024-02-14 19:23:40,0.196,,,,0.0192,,,,0,,,
2024-02-14 19:23:50,0.199,,,,0.0207,,,,0,,,
2024-02-14 19:24:00,0.272,,,,0.0264,,,,0,,,
2024-02-14 19:24:10,0.210,,,,0.0195,,,,0,,,
2024-02-14 19:24:20,0.206,,,,0.0192,,,,0,,,
2024-02-14 19:24:30,0.362,,,,0.0252,,,,0,,,
2024-02-14 19:24:40,0.203,,,,0.0183,,,,0,,,
2024-02-14 19:24:50,0.191,,,,0.0201,,,,0,,,
2024-02-14 19:25:00,0.275,,,,0.0255,,,,0,,,
2024-02-14 19:25:10,0.197,,,,0.0189,,,,0,,,
2024-02-14 19:25:20,0.203,,,,0.0186,,,,0,,,
2024-02-14 19:25:30,0.271,,,,0.0252,,,,0,,,
2024-02-14 19:25:40,0.182,,,,0.0192,,,,0,,,
2024-02-14 19:25:50,0.198,,,,0.0207,,,,0,,,
2024-02-14 19:26:00,0.271,,,,0.0246,,,,0,,,
2024-02-14 19:26:10,0.209,,,,0.0189,,,,0,,,
2024-02-14 19:26:20,0.205,,,,0.0204,,,,0,,,
2024-02-14 19:26:30,0.275,,,,0.0255,,,,0,,,
2024-02-14 19:26:40,0.203,,,,0.0195,,,,0,,,
2024-02-14 19:26:50,0.196,,,,0.0189,,,,0,,,
2024-02-14 19:27:00,0.276,,,,0.0237,,,,0,,,
2024-02-14 19:27:10,0.195,,,,0.0213,,,,0,,,
2024-02-14 19:27:20,0.202,,,,0.0225,,,,0,,,
2024-02-14 19:27:30,0.283,,,,0.0264,,,,0,,,
2024-02-14 19:27:40,0.186,,,,0.0180,,,,0,,,
2024-02-14 19:27:50,0.201,,,,0.0189,,,,0,,,
2024-02-14 19:28:00,0.265,,,,0.0276,,,,0,,,
2024-02-14 19:28:10,0.201,,,,0.0186,,,,0,,,
2024-02-14 19:28:20,0.208,,,,0.0207,,,,0,,,
2024-02-14 19:28:30,0.269,,,,0.0309,,,,0,,,
2024-02-14 19:28:40,0.194,,,,0.0192,,,,0,,,
2024-02-14 19:28:50,0.196,,,,0.0192,,,,0,,,
2024-02-14 19:29:00,0.276,,,,0.0294,,,,0,,,
2024-02-14 19:29:10,0.193,,,,0.0189,,,,0,,,
2024-02-14 19:29:20,0.216,,,,0.0195,,,,0,,,
2024-02-14 19:29:30,0.278,,,,0.0264,,,,0,,,
2024-02-14 19:29:40,0.183,,,,0.0195,,,,0,,,
2024-02-14 19:29:50,0.204,,,,0.0198,,,,0,,,
2024-02-14 19:30:00,0.262,,,,0.0249,,,,0,,,
2024-02-14 19:30:10,0.202,,,,0.0180,,,,0,,,
2024-02-14 19:30:20,0.200,,,,0.0189,,,,0,,,
2024-02-14 19:30:30,0.275,,,,0.0246,,,,0,,,
2024-02-14 19:30:40,0.200,,,,0.0180,,,,0,,,
2024-02-14 19:30:50,0.202,,,,0.0186,,,,0,,,
2024-02-14 19:31:00,0.268,,,,0.0246,,,,0,,,
2024-02-14 19:31:10,0.201,,,,0.0189,,,,0,,,
2024-02-14 19:31:20,0.210,,,,0.0198,,,,0,,,
2024-02-14 19:31:30,0.264,,,,0.0255,,,,0,,,
2024-02-14 19:31:40,0.188,,,,0.0183,,,,0,,,
2024-02-14 19:31:50,0.176,,,,0.0192,,,,0,,,
2024-02-14 19:32:00,0.229,,,,0.0228,,,,0,,,
2024-02-14 19:32:10,0.178,,,,0.0177,,,,0,,,
2024-02-14 19:32:20,0.174,,,,0.0174,,,,0,,,
2024-02-14 19:32:30,0.233,,,,0.0228,,,,0,,,
2024-02-14 19:32:40,0.174,,,,0.0171,,,,0,,,
2024-02-14 19:32:50,0.174,,,,0.0174,,,,0,,,
2024-02-14 19:33:00,0.233,,,,0.0228,,,,0,,,
2024-02-14 19:33:10,0.174,,,,0.0177,,,,0,,,
2024-02-14 19:33:20,0.177,,,,0.0174,,,,0,,,
2024-02-14 19:33:30,0.231,,,,0.0225,,,,0,,,
2024-02-14 19:33:40,0.174,,,,0.0180,,,,0,,,
