sep=,
"Time","restworkerjava-5c575459f9-sx582 / worker / PKG","restworkerjava-69696875f9-hsbkr / worker / PKG","restworkerjava-698c49cff-vqd6b / worker / PKG","restworkerjava-865c45bdb4-r7jm4 / worker / PKG","restworkerjava-5c575459f9-sx582 / worker / DRAM","restworkerjava-69696875f9-hsbkr / worker / DRAM","restworkerjava-698c49cff-vqd6b / worker / DRAM","restworkerjava-865c45bdb4-r7jm4 / worker / DRAM","restworkerjava-5c575459f9-sx582 / worker / OTHER","restworkerjava-69696875f9-hsbkr / worker / OTHER","restworkerjava-698c49cff-vqd6b / worker / OTHER","restworkerjava-865c45bdb4-r7jm4 / worker / OTHER"
2024-02-17 23:38:30,,,0.848,,,,0.0621,,,,0,
2024-02-17 23:38:40,,,0.433,,,,0.0489,,,,0,
2024-02-17 23:38:50,,,0.541,,,,0.0411,,,,0,
2024-02-17 23:39:00,,,1.03,,,,0.0612,,,,0,
2024-02-17 23:39:10,,,0.468,,,,0.0453,,,,0,
2024-02-17 23:39:20,,,0.434,,,,0.0390,,,,0,
2024-02-17 23:39:30,,,0.542,,,,0.0504,,,,0,
2024-02-17 23:39:40,,,0.370,,,,0.0378,,,,0,
2024-02-17 23:39:50,,,0.501,,,,0.0414,,,,0,
2024-02-17 23:40:00,,,0.580,,,,0.0651,,,,0,
2024-02-17 23:40:10,,,0.475,,,,0.0447,,,,0,
2024-02-17 23:40:20,,,0.463,,,,0.0516,,,,0,
2024-02-17 23:40:30,,,0.905,,,,0.0708,,,,0,
2024-02-17 23:40:40,,,0.466,,,,0.0432,,,,0,
2024-02-17 23:40:50,,,0.454,,,,0.0393,,,,0,
2024-02-17 23:41:00,,,0.641,,,,0.0588,,,,0,
2024-02-17 23:41:10,,,0.504,,,,0.0462,,,,0,
2024-02-17 23:41:20,,,0.460,,,,0.0507,,,,0,
2024-02-17 23:41:30,,,0.564,,,,0.0630,,,,0,
2024-02-17 23:41:40,,,0.446,,,,0.0471,,,,0,
2024-02-17 23:41:50,,,0.433,,,,0.0465,,,,0,
2024-02-17 23:42:00,,,0.583,,,,0.0600,,,,0,
2024-02-17 23:42:10,,,0.425,,,,0.0495,,,,0,
2024-02-17 23:42:20,,,0.391,,,,0.0555,,,,0,
2024-02-17 23:42:30,,,0.617,,,,0.0675,,,,0,
2024-02-17 23:42:40,,,0.479,,,,0.0387,,,,0,
2024-02-17 23:42:50,,,0.418,,,,0.0453,,,,0,
2024-02-17 23:43:00,,,0.525,,,,0.0576,,,,0,
2024-02-17 23:43:10,,,0.440,,,,0.0399,,,,0,
2024-02-17 23:43:20,,,0.419,,,,0.0435,,,,0,
2024-02-17 23:43:30,,,0.683,,,,0.0561,,,,0,
