sep=,
"Time","restworkerjava-586c6d968c-rnl6d / worker / PKG","restworkerjava-6645c55fc5-nrl9d / worker / PKG","restworkerjava-6c74555757-v7cqd / worker / PKG","restworkerjava-84544b4f5-dcldx / worker / PKG","restworkerjava-586c6d968c-rnl6d / worker / DRAM","restworkerjava-6645c55fc5-nrl9d / worker / DRAM","restworkerjava-6c74555757-v7cqd / worker / DRAM","restworkerjava-84544b4f5-dcldx / worker / DRAM","restworkerjava-586c6d968c-rnl6d / worker / OTHER","restworkerjava-6645c55fc5-nrl9d / worker / OTHER","restworkerjava-6c74555757-v7cqd / worker / OTHER","restworkerjava-84544b4f5-dcldx / worker / OTHER"
2024-02-16 11:52:00,,0.216,,,,0.0192,,,,0,,
2024-02-16 11:52:10,,0.233,,,,0.0204,,,,0,,
2024-02-16 11:52:20,,0.320,,,,0.0252,,,,0,,
2024-02-16 11:52:30,,0.207,,,,0.0192,,,,0,,
2024-02-16 11:52:40,,0.213,,,,0.0195,,,,0,,
2024-02-16 11:52:50,,0.280,,,,0.0240,,,,0,,
2024-02-16 11:53:00,,0.212,,,,0.0183,,,,0,,
2024-02-16 11:53:10,,0.220,,,,0.0183,,,,0,,
2024-02-16 11:53:20,,0.288,,,,0.0252,,,,0,,
2024-02-16 11:53:30,,0.217,,,,0.0192,,,,0,,
2024-02-16 11:53:40,,0.234,,,,0.0189,,,,0,,
2024-02-16 11:53:50,,0.302,,,,0.0252,,,,0,,
2024-02-16 11:54:00,,0.215,,,,0.0192,,,,0,,
2024-02-16 11:54:10,,0.242,,,,0.0201,,,,0,,
2024-02-16 11:54:20,,0.290,,,,0.0249,,,,0,,
2024-02-16 11:54:30,,0.209,,,,0.0189,,,,0,,
2024-02-16 11:54:40,,0.227,,,,0.0198,,,,0,,
2024-02-16 11:54:50,,0.293,,,,0.0252,,,,0,,
2024-02-16 11:55:00,,0.215,,,,0.0183,,,,0,,
2024-02-16 11:55:10,,0.219,,,,0.0186,,,,0,,
2024-02-16 11:55:20,,0.290,,,,0.0252,,,,0,,
2024-02-16 11:55:30,,0.217,,,,0.0183,,,,0,,
2024-02-16 11:55:40,,0.221,,,,0.0189,,,,0,,
2024-02-16 11:55:50,,0.284,,,,0.0246,,,,0,,
2024-02-16 11:56:00,,0.226,,,,0.0189,,,,0,,
2024-02-16 11:56:10,,0.224,,,,0.0201,,,,0,,
2024-02-16 11:56:20,,0.296,,,,0.0249,,,,0,,
2024-02-16 11:56:30,,0.207,,,,0.0177,,,,0,,
2024-02-16 11:56:40,,0.219,,,,0.0198,,,,0,,
2024-02-16 11:56:50,,0.307,,,,0.0258,,,,0,,
2024-02-16 11:57:00,,0.218,,,,0.0183,,,,0,,
2024-02-16 11:57:10,,0.221,,,,0.0189,,,,0,,
2024-02-16 11:57:20,,0.309,,,,0.0249,,,,0,,
2024-02-16 11:57:30,,0.222,,,,0.0183,,,,0,,
2024-02-16 11:57:40,,0.214,,,,0.0186,,,,0,,
2024-02-16 11:57:50,,0.288,,,,0.0252,,,,0,,
2024-02-16 11:58:00,,0.214,,,,0.0186,,,,0,,
2024-02-16 11:58:10,,0.225,,,,0.0210,,,,0,,
2024-02-16 11:58:20,,0.284,,,,0.0249,,,,0,,
2024-02-16 11:58:30,,0.219,,,,0.0183,,,,0,,
2024-02-16 11:58:40,,0.217,,,,0.0201,,,,0,,
2024-02-16 11:58:50,,0.291,,,,0.0255,,,,0,,
2024-02-16 11:59:00,,0.213,,,,0.0183,,,,0,,
2024-02-16 11:59:10,,0.216,,,,0.0195,,,,0,,
2024-02-16 11:59:20,,0.291,,,,0.0246,,,,0,,
2024-02-16 11:59:30,,0.222,,,,0.0183,,,,0,,
2024-02-16 11:59:40,,0.217,,,,0.0186,,,,0,,
2024-02-16 11:59:50,,0.293,,,,0.0249,,,,0,,
2024-02-16 12:00:00,,0.215,,,,0.0186,,,,0,,
