sep=,
"Time","CompleteJob (NOT_FOUND)","ActivateJobs (OK)","CompleteJob (OK)","CreateProcessInstance (OK)","DeployResource (OK)","FailJob (OK)","Topology (OK)","ActivateJobs (RESOURCE_EXHAUSTED)","CreateProcessInstance (RESOURCE_EXHAUSTED)","Total requests completed"
2024-02-18 21:11:00,0,3,12,0,0,0,0,0,0,15.5
2024-02-18 21:11:10,0,3.50,12.8,0,0,0,0,0,0,15.5
2024-02-18 21:11:20,0,3.60,11.2,0,0,0,0,0,0,15.4
2024-02-18 21:11:30,0,3.30,12.8,0,0,0,0,0,0,15.5
2024-02-18 21:11:40,0,3,12,0,0,0,0,0,0,15.4
2024-02-18 21:11:50,0,3,12,0,0,0,0,0,0,15.2
2024-02-18 21:12:00,0,3.20,12.8,0,0,0,0,0,0,15.3
2024-02-18 21:12:10,0,3,12,0,0,0,0,0,0,15.2
2024-02-18 21:12:20,0,3,12,0,0,0,0,0,0,15.4
2024-02-18 21:12:30,0,2.60,9.60,0,0,0,0,0,0,15.1
2024-02-18 21:12:40,0,0,0,0,0,0,0,0,0,13.7
2024-02-18 21:12:50,0,0,0,0,0,0,0,0,0,12.3
2024-02-18 21:13:00,0,0,0,0,0,0,0,0,0,10.8
2024-02-18 21:13:10,0,0,0,0,0,0,0,0,0,9.48
2024-02-18 21:13:20,0,0,0,0,0,0,0,0,0,8.02
2024-02-18 21:13:30,0,0.100,0,0,0,0,0,0,0,6.66
2024-02-18 21:13:40,0,0,0,0,0,0,0,0,0,5.30
2024-02-18 21:13:50,0,0,0,0,0,0,0,0,0,3.85
2024-02-18 21:14:00,0,0,0,0,0,0,0,0,0,2.48
2024-02-18 21:14:10,0,0,0,0,0,0,0,0,0,1.12
2024-02-18 21:14:20,0,0,0,0,0,0,0,0,0,0.00909
2024-02-18 21:14:30,0,0,0,0,0,0,0,0,0,0.00909
2024-02-18 21:14:40,0,0.100,0,0,0,0,0,0,0,0.0182
2024-02-18 21:14:50,0,0,0,0,0,0,0,0,0,0.0182
2024-02-18 21:15:00,0,0,0,0,0,0,0,0,0,0.0182
2024-02-18 21:15:10,0,0,0,0,0,0,0,0,0,0.0182
2024-02-18 21:15:20,0,0,0,0,0,0,0,0,0,0.00909
2024-02-18 21:15:30,0,0,0,0,0,0,0,0,0,0.00909
2024-02-18 21:15:40,0,0.100,0,0,0,0,0,0,0,0.0182
2024-02-18 21:15:50,0,0,0,0,0,0,0,0,0,0.0182
2024-02-18 21:16:00,0,0,0,0,0,0,0,0,0,0.0182
2024-02-18 21:16:10,0,0,0,0,0,0,0,0,0,0.0182
2024-02-18 21:16:20,0,0,0,0,0,0,0,0,0,0.0182
2024-02-18 21:16:30,0,0,0,0,0,0,0,0,0,0.00909
2024-02-18 21:16:40,0,0.100,0,0,0,0,0,0,0,0.0182
2024-02-18 21:16:50,0,0,0,0,0,0,0,0,0,0.0182
2024-02-18 21:17:00,0,0,0,0,0,0,0,0,0,0.0182
2024-02-18 21:17:10,0,0,0,0,0,0,0,0,0,0.0182
2024-02-18 21:17:20,0,0,0,0,0,0,0,0,0,0.0182
2024-02-18 21:17:30,0,0.200,0.800,0.100,0,0,0,0,0,0.109
2024-02-18 21:17:40,0,17.3,68.2,1.10,0,0,0,0,0,7.98
2024-02-18 21:17:50,0,18.2,75.9,0,0,0,0,0,0,16.5
2024-02-18 21:18:00,0,17.5,75.2,0,0,0,0,0,0,25.0
2024-02-18 21:18:10,0,17.8,74.3,0,0,0,0,0,0,33.3
2024-02-18 21:18:20,0,18.5,75.8,0,0,0,0,0,0,41.9
2024-02-18 21:18:30,0,18.5,76.2,0,0,0,0,0,0,50.5
2024-02-18 21:18:40,0,18.6,75.3,0,0,0,0,0,0,59.0
2024-02-18 21:18:50,0,18.4,75.1,0,0,0,0,0,0,67.5
2024-02-18 21:19:00,0,18.6,74.5,0,0,0,0,0,0,76.0
2024-02-18 21:19:10,0.800,18.6,74.6,0,0,0,0,0,0,84.6
2024-02-18 21:19:20,0,17.9,74.3,0,0,0,0,0,0,92.8
2024-02-18 21:19:30,0,12.6,53.4,0,0,0,0,0,0,91.0
2024-02-18 21:19:40,0,12.4,50.5,1.20,0,0,0,0,0,88.2
2024-02-18 21:19:50,0,17.6,75.2,0,0,0,0,0,0,88.2
2024-02-18 21:20:00,0,18.9,74.6,0,0,0,0,0,0,88.4
2024-02-18 21:20:10,0,17.9,74.2,0,0,0,0,0,0,88.2
2024-02-18 21:20:20,0,17.7,74.4,0,0,0,0,0,0,87.9
2024-02-18 21:20:30,0,17.8,73.7,0,0,0,0,0,0,87.7
2024-02-18 21:20:40,0.800,17.5,73.6,0,0,0,0,0,0,87.6
2024-02-18 21:20:50,0,17.9,73.5,0,0,0,0,0,0,87.4
2024-02-18 21:21:00,0,17.9,75.2,0,0,0,0,0,0,87.3
2024-02-18 21:21:10,0.900,18.3,75.2,0,0,0,0,0,0,87.5
2024-02-18 21:21:20,0,18.4,75.3,0,0,0,0,0,0,90.1
2024-02-18 21:21:30,0,18.1,72.7,0,0,0,0,0,0,92.5
2024-02-18 21:21:40,0.700,7.60,29.6,1.20,0,0,0,0,0,87.6
2024-02-18 21:21:50,0,17.8,76,0,0,0,0,0,0,87.6
2024-02-18 21:22:00,0,17.7,73.6,0,0,0,0,0,0,87.6
2024-02-18 21:22:10,0.200,17.8,73.8,0,0,0,0,0,0,87.5
2024-02-18 21:22:20,0,17.6,73.4,0,0,0,0,0,0,87.5
2024-02-18 21:22:30,0,16.4,69.7,0,0,0,0,0,0,87.0
2024-02-18 21:22:40,0,16.8,72.8,0,0,0,0,0,0,86.8
2024-02-18 21:22:50,0,17.9,74.3,0,0,0,0,0,0,86.7
2024-02-18 21:23:00,0,18.4,72.8,0,0,0,0,0,0,86.4
2024-02-18 21:23:10,0.800,18,73.8,0,0,0,0,0,0,86.3
2024-02-18 21:23:20,0,18,75.7,0,0,0,0,0,0,86.6
2024-02-18 21:23:30,0,18.7,75.4,0,0,0,0,0,0,91.6
2024-02-18 21:23:40,0,9.70,41.4,0.400,0,0,0,0,0,87.7
2024-02-18 21:23:50,0,17.5,70.5,0.800,0,0,0,0,0,87.5
2024-02-18 21:24:00,0,18.3,75.2,0,0,0,0,0,0,87.7
2024-02-18 21:24:10,0,18.2,74.4,0,0,0,0,0,0,87.8
2024-02-18 21:24:20,0,18.2,76,0,0,0,0,0,0,88.5
2024-02-18 21:24:30,0,18.3,75.2,0,0,0,0,0,0,88.9
2024-02-18 21:24:40,0,17.6,72.8,0,0,0,0,0,0,88.7
2024-02-18 21:24:50,0,18.1,76.7,0,0,0,0,0,0,89.1
2024-02-18 21:25:00,0,18.3,73.7,0,0,0,0,0,0,89.0
2024-02-18 21:25:10,0,18.1,73.7,0,0,0,0,0,0,88.8
2024-02-18 21:25:20,0,17.7,75,0,0,0,0,0,0,88.7
2024-02-18 21:25:30,0,17.6,74.5,0,0,0,0,0,0,92.4
2024-02-18 21:25:40,0,12.6,52.7,0,0,0,0,0,0,90.3
2024-02-18 21:25:50,0,13.5,53.7,1.20,0,0,0,0,0,88.0
2024-02-18 21:26:00,0,18.5,75.2,0,0,0,0,0,0,88.1
2024-02-18 21:26:10,0.700,17.5,74.5,0,0,0,0,0,0,87.9
2024-02-18 21:26:20,0,18.1,73.6,0,0,0,0,0,0,87.8
2024-02-18 21:26:30,0,17.5,75,0,0,0,0,0,0,88.0
2024-02-18 21:26:40,0,17.3,74.6,0,0,0,0,0,0,87.7
2024-02-18 21:26:50,0,18,74.9,0,0,0,0,0,0,87.8
2024-02-18 21:27:00,0,18.1,74.6,0,0,0,0,0,0,87.9
2024-02-18 21:27:10,0,18.3,73.5,0,0,0,0,0,0,87.8
2024-02-18 21:27:20,0,17.4,73.7,0,0,0,0,0,0,87.7
2024-02-18 21:27:30,0,18,73.7,0,0,0,0,0,0,90.1
2024-02-18 21:27:40,0.700,17.7,72.7,0,0,0,0,0,0,92.2
