sep=,
"Time","restworkerjava-58d6f48b94-rbd6b / worker / PKG","restworkerjava-7885b99b5f-9mrn5 / worker / PKG","restworkerjava-85d7c5b9df-wpdkg / worker / PKG","restworkerjava-58d6f48b94-rbd6b / worker / DRAM","restworkerjava-7885b99b5f-9mrn5 / worker / DRAM","restworkerjava-85d7c5b9df-wpdkg / worker / DRAM","restworkerjava-58d6f48b94-rbd6b / worker / OTHER","restworkerjava-7885b99b5f-9mrn5 / worker / OTHER","restworkerjava-85d7c5b9df-wpdkg / worker / OTHER"
2024-02-10 11:32:00,0.245,,,0.0291,,,0,,
2024-02-10 11:32:10,0.183,,,0.0198,,,0,,
2024-02-10 11:32:20,0.194,,,0.0195,,,0,,
2024-02-10 11:32:30,0.262,,,0.0261,,,0,,
2024-02-10 11:32:40,0.178,,,0.0192,,,0,,
2024-02-10 11:32:50,0.185,,,0.0189,,,0,,
2024-02-10 11:33:00,0.281,,,0.0315,,,0,,
2024-02-10 11:33:10,0.257,,,0.0219,,,0,,
2024-02-10 11:33:20,0.200,,,0.0210,,,0,,
2024-02-10 11:33:30,0.255,,,0.0255,,,0,,
2024-02-10 11:33:40,0.175,,,0.0192,,,0,,
2024-02-10 11:33:50,0.175,,,0.0186,,,0,,
2024-02-10 11:34:00,0.238,,,0.0261,,,0,,
2024-02-10 11:34:10,0.174,,,0.0201,,,0,,
2024-02-10 11:34:20,0.154,,,0.0183,,,0,,
2024-02-10 11:34:30,0.161,,,0.0243,,,0,,
2024-02-10 11:34:40,0.121,,,0.0177,,,0,,
2024-02-10 11:34:50,0.120,,,0.0177,,,0,,
2024-02-10 11:35:00,0.185,,,0.0267,,,0,,
2024-02-10 11:35:10,0.178,,,0.0201,,,0,,
2024-02-10 11:35:20,0.195,,,0.0192,,,0,,
2024-02-10 11:35:30,0.256,,,0.0255,,,0,,
2024-02-10 11:35:40,0.205,,,0.0192,,,0,,
2024-02-10 11:35:50,0.179,,,0.0186,,,0,,
2024-02-10 11:36:00,0.277,,,0.0294,,,0,,
2024-02-10 11:36:10,0.224,,,0.0240,,,0,,
2024-02-10 11:36:20,0.224,,,0.0213,,,0,,
2024-02-10 11:36:30,0.226,,,0.0267,,,0,,
2024-02-10 11:36:40,0.203,,,0.0192,,,0,,
2024-02-10 11:36:50,0.177,,,0.0189,,,0,,
2024-02-10 11:37:00,0.251,,,0.0264,,,0,,
2024-02-10 11:37:10,0.157,,,0.0204,,,0,,
2024-02-10 11:37:20,0.176,,,0.0192,,,0,,
2024-02-10 11:37:30,0.161,,,0.0246,,,0,,
2024-02-10 11:37:40,0.119,,,0.0177,,,0,,
2024-02-10 11:37:50,0.121,,,0.0177,,,0,,
2024-02-10 11:38:00,0.179,,,0.0261,,,0,,
2024-02-10 11:38:10,0.197,,,0.0207,,,0,,
2024-02-10 11:38:20,0.188,,,0.0195,,,0,,
2024-02-10 11:38:30,0.251,,,0.0264,,,0,,
2024-02-10 11:38:40,0.173,,,0.0195,,,0,,
2024-02-10 11:38:50,0.173,,,0.0189,,,0,,
2024-02-10 11:39:00,0.305,,,0.0279,,,0,,
2024-02-10 11:39:10,0.272,,,0.0246,,,0,,
2024-02-10 11:39:20,0.251,,,0.0213,,,0,,
2024-02-10 11:39:30,0.240,,,0.0261,,,0,,
2024-02-10 11:39:40,0.177,,,0.0195,,,0,,
2024-02-10 11:39:50,0.167,,,0.0189,,,0,,
2024-02-10 11:40:00,0.257,,,0.0252,,,0,,
2024-02-10 11:40:10,0.174,,,0.0213,,,0,,
2024-02-10 11:40:20,0.266,,,0.0201,,,0,,
2024-02-10 11:40:30,0.206,,,0.0246,,,0,,
2024-02-10 11:40:40,0.127,,,0.0177,,,0,,
2024-02-10 11:40:50,0.120,,,0.0177,,,0,,
2024-02-10 11:41:00,0.161,,,0.0240,,,0,,
2024-02-10 11:41:10,0.202,,,0.0225,,,0,,
2024-02-10 11:41:20,0.236,,,0.0198,,,0,,
2024-02-10 11:41:30,0.263,,,0.0261,,,0,,
2024-02-10 11:41:40,0.195,,,0.0186,,,0,,
2024-02-10 11:41:50,0.173,,,0.0189,,,0,,
2024-02-10 11:42:00,0.261,,,0.0261,,,0,,
2024-02-10 11:42:10,0.216,,,0.0246,,,0,,
2024-02-10 11:42:20,0.246,,,0.0240,,,0,,
2024-02-10 11:42:30,0.265,,,0.0270,,,0,,
2024-02-10 11:42:40,0.205,,,0.0201,,,0,,
2024-02-10 11:42:50,0.227,,,0.0213,,,0,,
2024-02-10 11:43:00,0.225,,,0.0270,,,0,,
2024-02-10 11:43:10,0.180,,,0.0204,,,0,,
2024-02-10 11:43:20,0.180,,,0.0204,,,0,,
2024-02-10 11:43:30,0.189,,,0.0264,,,0,,
2024-02-10 11:43:40,0.122,,,0.0180,,,0,,
2024-02-10 11:43:50,0.119,,,0.0177,,,0,,
2024-02-10 11:44:00,0.162,,,0.0240,,,0,,
2024-02-10 11:44:10,0.156,,,0.0216,,,0,,
2024-02-10 11:44:20,0.195,,,0.0207,,,0,,
2024-02-10 11:44:30,0.231,,,0.0270,,,0,,
2024-02-10 11:44:40,0.173,,,0.0198,,,0,,
2024-02-10 11:44:50,0.217,,,0.0210,,,0,,
2024-02-10 11:45:00,0.257,,,0.0270,,,0,,
2024-02-10 11:45:10,0.252,,,0.0240,,,0,,
2024-02-10 11:45:20,0.221,,,0.0225,,,0,,
2024-02-10 11:45:30,0.285,,,0.0273,,,0,,
2024-02-10 11:45:40,0.180,,,0.0195,,,0,,
2024-02-10 11:45:50,0.198,,,0.0195,,,0,,
2024-02-10 11:46:00,0.283,,,0.0273,,,0,,
2024-02-10 11:46:10,0.181,,,0.0207,,,0,,
2024-02-10 11:46:20,0.171,,,0.0210,,,0,,
2024-02-10 11:46:30,0.196,,,0.0252,,,0,,
2024-02-10 11:46:40,0.121,,,0.0177,,,0,,
2024-02-10 11:46:50,0.121,,,0.0177,,,0,,
2024-02-10 11:47:00,0.162,,,0.0240,,,0,,
2024-02-10 11:47:10,0.152,,,0.0204,,,0,,
2024-02-10 11:47:20,0.200,,,0.0207,,,0,,
2024-02-10 11:47:30,0.242,,,0.0267,,,0,,
